time_min	used_gb
0	1
0	1
1	8
2	15
3	22
4	29
5	36
6	37
7	39
8	41
9	42
10	44
11	46
12	48
13	50
14	51
15	53
16	55
17	57
18	58
19	60
20	62
21	63
22	65
23	67
24	68
25	69
26	71
27	73
28	75
29	76
30	78
31	79
32	81
33	83
34	84
35	86
36	88
37	89
38	90
39	92
40	94
41	95
42	96
43	98
44	99
45	101
46	102
47	104
48	105
49	107
50	108
51	110
52	111
53	113
54	114
55	115
56	116
57	118
58	119
59	121
60	122
61	124
62	125
63	127
64	128
65	130
66	131
67	133
68	133
69	135
70	137
71	138
72	138
73	139
74	139
75	140
76	140
77	141
78	140
79	142
80	142
81	142
82	143
83	143
84	144
85	144
86	145
87	145
88	146
89	146
90	146
91	147
92	148
93	148
94	148
95	148
96	149
97	150
98	150
99	151
100	151
101	152
102	152
103	153
104	153
105	154
106	154
107	155
108	155
109	156
110	156
111	157
112	157
113	157
114	158
115	159
116	159
117	159
118	159
119	159
120	159
121	159
122	159
123	159
124	159
125	159
126	160
127	160
128	160
129	160
130	160
131	160
132	160
133	160
134	160
135	160
136	160
137	161
138	161
139	161
140	162
141	162
142	162
143	162
144	161
145	162
146	162
147	162
148	162
149	163
150	162
151	162
152	163
153	163
154	163
155	163
156	163
157	163
158	163
159	163
160	164
161	163
162	164
163	164
164	164
165	164
166	164
167	165
168	165
169	165
170	165
171	165
172	165
173	165
174	165
175	166
176	165
177	166
178	165
179	166
180	166
181	166
182	166
183	167
184	166
185	167
186	167
187	167
188	167
189	167
190	168
191	168
192	167
193	168
194	168
195	168
196	168
197	168
198	168
199	167
200	167
201	166
202	166
203	165
204	165
205	165
206	164
207	164
208	163
209	163
210	163
211	162
212	162
213	162
214	161
215	161
216	160
217	160
218	159
219	159
220	158
221	158
222	158
223	158
224	157
225	157
226	157
227	157
228	157
229	157
230	157
231	158
232	161
233	164
234	167
235	170
236	173
237	176
238	179
239	182
240	186
241	188
242	192
243	171
244	171
245	171
246	173
247	176
248	179
249	182
250	185
251	188
252	191
253	194
254	197
255	200
256	203
257	183
258	183
259	183
260	185
261	188
262	191
263	194
264	197
265	200
266	203
267	206
268	209
269	212
270	215
271	195
272	195
273	195
274	196
275	199
276	202
277	205
278	208
279	211
280	214
281	217
282	220
283	223
284	226
285	206
286	206
287	206
288	208
289	210
290	213
291	216
292	219
293	222
294	225
295	228
296	231
297	234
298	237
299	217
300	218
301	218
302	219
303	219
304	220
305	220
306	221
307	221
308	222
309	222
310	223
311	210
312	210
313	210
314	210
315	210
316	210
317	210
318	210
319	211
320	211
321	210
322	209
323	208
324	207
325	206
326	205
327	204
328	202
329	201
330	200
331	199
332	198
333	197
334	196
335	194
336	193
337	192
338	192
339	192
340	191
341	191
342	192
343	192
344	192
345	192
346	192
347	192
348	191
349	190
350	189
351	188
352	187
353	186
354	184
355	183
356	182
357	181
358	180
359	179
360	177
361	176
362	175
363	174
364	173
365	173
366	173
367	173
368	172
369	173
370	173
371	173
372	172
373	173
374	173
375	172
376	170
377	170
378	168
379	167
380	166
381	165
382	164
383	163
384	162
385	161
386	160
387	158
388	157
389	156
390	155
391	154
392	153
393	154
394	154
395	154
396	154
397	154
398	153
399	154
400	154
401	153
402	153
403	152
404	151
405	150
406	148
407	147
408	146
409	145
410	144
411	143
412	142
413	141
414	140
415	139
416	138
417	137
418	136
419	134
420	134
421	134
422	134
423	134
424	134
425	134
426	134
427	135
428	134
429	134
430	135
431	137
432	139
433	141
434	142
435	144
436	146
437	148
438	150
439	152
440	153
441	154
442	155
443	156
444	156
445	156
446	157
447	157
448	157
449	158
450	158
451	158
452	159
453	159
453	157
454	155
455	153
456	151
457	149
458	147
459	146
460	144
461	142
463	101
463	101
464	101